epoch,bits,tot-acc.,tot-loss,oth-acc.,oth-loss,att-acc.,att-loss
0,32,92.56,0.25223160582758347,92.1,0.26637350390561754,96.7,0.12495452312527677
0,8,92.47,0.253228470794219,92.03333333333333,0.2674719613649779,96.4,0.1250370556573888
0,7,92.31,0.2588053245138302,91.84444444444445,0.2731404872542868,96.5,0.12978885984972066
0,6,91.92,0.2791866105929281,91.45555555555555,0.2922012043227959,96.1,0.1620552670241176
0,5,88.78,0.38592115801363364,88.24444444444444,0.4060273006964061,93.6,0.20496587386868179
epoch,bits,tot-acc.,tot-loss,oth-acc.,oth-loss,att-acc.,att-loss
0,32,92.56,0.25223160582758347,92.1,0.26637350390561754,96.7,0.12495452312527677
0,8,92.47,0.253228470794219,92.03333333333333,0.2674719613649779,96.4,0.1250370556573888
0,7,92.31,0.2588053245138302,91.84444444444445,0.2731404872542868,96.5,0.12978885984972066
0,6,91.92,0.2791866105929281,91.45555555555555,0.2922012043227959,96.1,0.1620552670241176
0,5,88.78,0.38592115801363364,88.24444444444444,0.4060273006964061,93.6,0.20496587386868179
